,tweet,time,id,likes,location
6545,Lady Laena Deserved better 💔 #HouseOfTheDragon https://t.co/crmEWyyJ2p,2022-09-26 16:38:05+00:00,1280975499716694016,0,
6546,#HouseOfTheDragon pls stop killing my fav characters pls,2022-09-26 16:38:03+00:00,1513848293272567811,0,
6547,@adamgreattweet 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPaMHk #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/IjtMGblgPz,2022-09-26 16:38:02+00:00,1569328598703656960,0,
6548,#HouseOfTheDragon Timeline jumps in Each &amp; Every Episode https://t.co/QJaPmKQgOx,2022-09-26 16:37:57+00:00,2997778020,0,
6549,@packers @RomeoDoubs 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPsnyS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/QEKEjKBPkr,2022-09-26 16:37:54+00:00,1569328598703656960,0,
6550,"i am still stuck here 🥵🫠

#HouseOfTheDragon #DaemonTargaryen #RhaenyraTargaryen https://t.co/gHqGs5b4Ut",2022-09-26 16:37:44+00:00,1573821874684968960,4,
6551,@TheRickyDavila 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPsnyS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/zpmkEg9r68,2022-09-26 16:37:43+00:00,1569328598703656960,0,
6552,"The king every time Alicent starts talking about the grandkids 
 #HouseOfTheDragon https://t.co/O5yYf2yp5S",2022-09-26 16:37:43+00:00,39225598,4,
6553,"My family reunited in the next episode, FINALLY. #HouseOfTheDragon https://t.co/BcbpzunhKD",2022-09-26 16:37:34+00:00,571067704,23,
6554,"EJ Samuel M2759
Your Price : $185.00(30% OFF)
Special Discount! Hurry up!
Order Now : https://t.co/sxQyNmMFQt
#suit #StylishSuits #mensfashion #mensstyle #menswear #blacksuit #fashion #shopping #clothing #California #HouseOfTheDragon #PMSIDontWantToOverreactBUT #MondayMotivation https://t.co/J3pf3W6Mr9",2022-09-26 16:37:31+00:00,1569762302785908737,1,
6555,@TheOtherMandela @RonJohnsonWI 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPaMHk #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/1zYfnVzRYl,2022-09-26 16:37:30+00:00,1569328598703656960,0,
6556,imagine if rhaenyra and laenor left king’s landing before harwin is sent back to harrenhal… they could have lived together and raise the kids together at dragonstone😭 #HouseOfTheDragon https://t.co/wyHrPX8n6b,2022-09-26 16:37:27+00:00,1136250456747978753,2,
6557,"I've just watched episode S01 | E06 of House of the Dragon! #houseofthedragon
7 months 14 days 0 hours  https://t.co/TTW6ea6JG9 #tvtime https://t.co/04mEz72mOF",2022-09-26 16:37:19+00:00,2546520510,0,
6558,"Ya’ll thought Vhagar is massive- wait until you meet The Cannibal 😏

House of Dragon
#HouseOfTheDragon #DemThrones #Vhagar #syrax #vermax",2022-09-26 16:37:16+00:00,1122167009503006726,0,
6559,"I stopped watching #HouseOfTheDragon
Too many dragons 😭
Also i miss #GOT 😔",2022-09-26 16:37:15+00:00,3164075507,0,
6560,"Get your free wealth manifestation pdf -(https://t.co/DkMtx7zYyx)🤑-limited copies left
#audioleak #bagcilar #chinacoup #Dagestan #DANFRA #enyokeni #FIFA23 #GOAT𓃵 #gore #HouseOfTheDragon #harisrauf #IranProtests2022 #IranRevolution #JISOO #NEDBEL #onlyfans #PakvsEngland #rose https://t.co/zPtejERlQ7",2022-09-26 16:37:15+00:00,1441625306830290944,0,
6561,Aegon II is such a little bitch #HouseOfTheDragon,2022-09-26 16:37:08+00:00,1685560495,0,
6562,"@corvus_corvi Yes, I have to explained to husband, putting episodes in pause so he can understand what is goin on. for someone who never reads the books is really hard to understand #HouseOfTheDragon",2022-09-26 16:37:07+00:00,915796392,0,
6563,"#HouseoftheDragon all she needed was a turkey baster, a calendar, and an endless supply of moon tea. We could've made this riiiiiiggghht 😩",2022-09-26 16:37:07+00:00,1262960041243574282,0,
6564,@TheMoonCarl $TSUKA breakout loading…. Insane holder and volume growth. Whales coming to the 🐉 #tsuka #shib #ryoshi #HouseoftheDragon                   #BoredApeYachtClub #BoredApeYC,2022-09-26 16:37:06+00:00,1549002263003275264,0,
6565,So everybody aged except Criston and Daemon 🤔 #HouseOfTheDragon https://t.co/JTs7nWr5i6,2022-09-26 16:36:59+00:00,31736941,0,
6566,"We need more fantasy stories that include people of color because that's the reality of the Medieval period these stories are often based on. The Moors, the Nubians, and more had a strong presence in Medieval Europe.

#Writing #fantasy #RingsOfPowerOnPrime #HouseOfTheDragon",2022-09-26 16:36:50+00:00,765759489433829377,1,
6567,"Allicent being shady AF from the get go. 

#HouseOfTheDragon #demdragons",2022-09-26 16:36:49+00:00,27521265,2,
6568,Allman Brothers T Shirt  Stage  Woodcut Style https://t.co/LYIgg3rJXF #gratefuldead #jerrygarcia #bobweir #billystrings #fashion #guitar #art #HouseOfTheDragon #RogerFederer #ShopMyCloset #audioleak #bagcilar #GOAT𓃵 #TejRan #BB24 #QueenElizabethII,2022-09-26 16:36:47+00:00,1232864333773901824,0,
6569,@JustinTrudeau 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPsnyS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/gKwEZBO1Ec,2022-09-26 16:36:46+00:00,1569328598703656960,0,
6570,"HOTD ep06 👌🏾👌🏾👌🏾
#HouseOfTheDragon 
#HouseOfTheDragonEp6",2022-09-26 16:36:42+00:00,1249989879351525376,0,
6571,Someone please kick Alicent off her high tower #HouseOfTheDragon,2022-09-26 16:36:36+00:00,1385692995811348484,2,
6572,@JustinTrudeau 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPaMHk #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/cqxYUonOyC,2022-09-26 16:36:34+00:00,1569328598703656960,0,
6573,Nothing worse than when a mother makes excuses for her kid being a damn tyrant and bully. I'm talking to you Alicent. 😒 #HouseOfTheDragon,2022-09-26 16:36:34+00:00,786935936756097024,5,
6574,6 more days till Sunday #redzone #HouseOfTheDragon,2022-09-26 16:36:26+00:00,1168013272345219072,0,
6575,"This scene touched me.
#HouseOfTheDragon https://t.co/HegAITLRwT",2022-09-26 16:36:25+00:00,1186034146101153793,3,
6576,"Larys strong is what Littlefinger wanted to be 🌝

And absolutely hate both of them

#HouseOfTheDragon",2022-09-26 16:36:20+00:00,362517373,2,
6577,"#HouseOfDragons #DemDragons #HouseOfTheDragon 

The Hand: …I can no longer serve you with integrity 

The King: What is this shadow? Name it, if it casts such a gloom.

Alicent: Yes…we must have your reasoning in plain language.

The King: bitch I know you see the men talkin https://t.co/vvZ4SS4sNb",2022-09-26 16:36:20+00:00,1321280298,5,
6578,#TV #Explainer #GameofThrones #HBOMax #HouseoftheDragon House of the Dragon Explained: Who Are the 8 Children? https://t.co/Fu2ePAHuDg,2022-09-26 16:36:11+00:00,1433789706211315712,0,
6579,"Show time;#Dairy (Tamil)🍿

ALL MOVIE LOVERS FOLLOW ME for reviews 🤗
 (#SSMB28 #Adhipursh #NTR #PonniyinSelvan1 #NaaneVaruvean #GodFather #Ghost #Yash19 #Suriya #VarisuPongal #Thunivu #AkshayKumar #RamSetu #VikramVedha #Pathaan #RC15 #Thalapathy67 #Salaar  #HouseOfTheDragon ) https://t.co/hjYcdi4M80",2022-09-26 16:36:09+00:00,1518810519368790016,4,
6580,#HouseOfTheDragon Reality https://t.co/AydI6rcaJ2,2022-09-26 16:36:06+00:00,914678022,0,
6581,#HouseoftheDragon is doing a great job portraying just how gray these characters are. Because it's team black all day but Rhae Rhae baby...whet is you dewn?,2022-09-26 16:36:03+00:00,1262960041243574282,2,
6582,@marklevinshow 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPaMHk #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/Hl5DlnH3vZ,2022-09-26 16:35:52+00:00,1569328598703656960,0,
6583,Tbh i really i hated this episode. Everything about it just pissed me off #HouseOfTheDragon,2022-09-26 16:35:50+00:00,908668637627731968,0,
6584,I hate that alicent (and now cristen) is sooo worried bout rhaenyra’s pussy but also…nyra baby whyyyy you sit up there and have all them bastard babies 😭 what was that about #HouseOfTheDragon,2022-09-26 16:35:50+00:00,1158201935184502784,1,
6585,"Alicent😡 I hate her! You don't deserve to be queen. Nor do you deserve to be a queen mother. 

#OliviaCooke ❤️
#HouseOfTheDragon https://t.co/0Ghtn5P2gw",2022-09-26 16:35:47+00:00,30833797,0,
6586,The worst part about voicing my critiques of #HouseOfTheDragon is that they're not gonna remake the entire show to my exact 10-season specifications.,2022-09-26 16:35:40+00:00,1404898305428144143,55,
6587,@cuppymusic 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPsnyS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/etLCF6CO8N,2022-09-26 16:35:36+00:00,1569328598703656960,0,
6588,"Harwin Strong when Ser Cirsten said “Most men would only have that kind of devotion for a cousin, a brother…or a son” #HouseOfTheDragon https://t.co/xlVWXjTrPD",2022-09-26 16:35:35+00:00,394154842,3,
6589,So nobody gonna say anything about aegon in his window 👀#HouseOfTheDragon #hod #nasty https://t.co/lCngWRWOMu,2022-09-26 16:35:27+00:00,1523881874166370305,6,
6590,#HouseOfTheDragon Expectations https://t.co/JtxRylQAdU,2022-09-26 16:35:24+00:00,914678022,0,
6591,literally everyone watching Ser Cole get  punched in the face #HouseOfTheDragon https://t.co/qeKQUQrFws,2022-09-26 16:35:19+00:00,979809748055937024,0,
6592,Every episode of #HouseOfTheDragon is like an episode of Maury.,2022-09-26 16:35:16+00:00,895693554130878464,0,
6593,Our pets have such basic names compared to the names of the dragons #HouseOfTheDragon,2022-09-26 16:35:14+00:00,217227475,0,
6594,"In the old days, House Frey was a minor exporter of baked goods from the city of Pentos. 

It was their speciality pies that led to them being given Great House status.

Little is known of the recipe for these Frey Pentos Pies.

#HouseOfTheDragon",2022-09-26 16:35:14+00:00,13933212,3,{'place_id': '7e7263ec239d5121'}
6595,twin🤣 #HouseOfTheDragon https://t.co/HHdSaHLbQx,2022-09-26 16:35:09+00:00,464646059,0,
6596,@cryptogems555 $TSUKA breakout loading…. Insane holder and volume growth. Whales coming to the 🐉 #tsuka #shib #ryoshi #HouseoftheDragon                   #BoredApeYachtClub #BoredApeYC,2022-09-26 16:35:07+00:00,1549002263003275264,0,
6597,"#MattSmith #DaemonTargaryen #HouseOfTheDragon 

🔥🤍♥️🫶🏼🛐🛐🛐🛐🛐🛐
I love it ✨
- https://t.co/i2BRFkxQMO",2022-09-26 16:35:06+00:00,503839699,1,
6598,"how tf can crusty criston can get away with murdering a member of the laenor's wedding party+assaulting laenor, but harwin can't deck him for making insinuations abt him and rhaenyra🙄 #HouseOfTheDragon",2022-09-26 16:35:05+00:00,1032903046878162944,0,
6599,Sir CristonCole’s casual head nod to Laenor at the beginning of last night’s #HouseOfTheDragon episode got my blood boiling. Nothing about him is decent or honorable.,2022-09-26 16:35:05+00:00,527801761,0,
6600,Why would you change the cast mid season 🙄 #HouseOfTheDragon,2022-09-26 16:34:59+00:00,37424357,0,
6601,I cannot express how beautiful it was to see Vhagar in her full glory. As the last of the three conquering dragons. My god. #HouseoftheDragon,2022-09-26 16:34:53+00:00,1490054262658945025,1,
6602,"IDC IDC IDC Ser Criston Cole deserved every bit of them hands.. 😂😂😂
#HouseOfTheDragon #Breakbones https://t.co/6k2bqFlBc3",2022-09-26 16:34:51+00:00,815662399,6,
6603,Lá se foi S01 | E06 The Princess and the Queen de House of the Dragon #houseofthedragon  https://t.co/DKNUp8yjNS #tvtime https://t.co/LAbFYSUq8v,2022-09-26 16:34:50+00:00,911682048531877888,0,
6604,"giving birth to 3 bastards. I don’t think Rhaenyra and Cercei are the same tho. Cause Robert didn’t know but Laenor did. They agreed on this with mutual benefits. that’s different.
 #HouseOfTheDragon",2022-09-26 16:34:49+00:00,1347095288649904129,0,
6605,Who wants to join me in hating Alicent Hightower and Ser Criston together? #HouseOfTheDragon,2022-09-26 16:34:47+00:00,43966404,3,
6606,This was so sad!!!!!! #HouseOfTheDragon https://t.co/jBDALTj22g,2022-09-26 16:34:36+00:00,275836598,3,
6607,"I’m begging AO3 writers to free us from pain and write asap Harwin/Rhaenyra fics 🙏🏻
#HouseOfTheDragon 
#RhaenyraTargaryen https://t.co/EM3gkqB6RF https://t.co/Tn2zFlsvZC",2022-09-26 16:34:35+00:00,1463221607581716480,1,
6608,Did I miss an episode or have they just done one of the most confusing time jumps? #HouseOfTheDragon,2022-09-26 16:34:33+00:00,418982340,0,
6609,DRACARYS!!🔥🔥🔥 #HouseOfTheDragon #caraxes https://t.co/7f0oLOGWuN,2022-09-26 16:34:30+00:00,1310137019993997312,1,
6610,"How can one man, whom I’ve known less than 10 minutes have me weeping. RIP Harwin Strong. You will be in my heart forever #HouseOfTheDragon #harwinstrong https://t.co/rFtJ9z8ZSG",2022-09-26 16:34:20+00:00,1443986358784204845,1,
6611,How nice being spoiled is 😃 #HouseOfTheDragon arghhhhh,2022-09-26 16:34:20+00:00,1296830675530788868,0,
6612,"Amazon And Flipkart Loot Deals Upto 90 % Off .

➡️ Telegram : https://t.co/ZSmo9dL3oy

Join Telegram 👆 And Save Money 💸

#Adipurush #biggbosstelugu6 #HappyNavratri #नवरात्रि #India #VikramVedha #HouseOfTheDragon #Hyderabad #sharukhkhan #Modi #BIGBOSS #Hindi #Telugu #movies https://t.co/miu2YmMn6W",2022-09-26 16:34:18+00:00,1504693026391670784,0,
6613,I've just watched episode S01 | E06 of House of the Dragon! #houseofthedragon  https://t.co/kWSFY56kQa #tvtime https://t.co/lRp2EAPzrE,2022-09-26 16:34:12+00:00,1237743237286281219,0,
6614,"If you want to rank your website or want to grow your #website you can read this link visit:https://t.co/8THPsrJ10O

#bills #canada #sondayMotivation #HouseOfTheDragon #tLMEP #bb24  #rihanna #bagcilar #exitpoll #HurricaneIan #tlouDay #mussolini #seoInGuk",2022-09-26 16:34:08+00:00,1569016900407144448,0,
